"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2018,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
Public relations specialists,140,65.7,86.8,7.1,4.9,10.0
Editors,160,52.2,91.7,1.7,4.4,10.3
Technical writers,69,55.9,82.4,8.3,5.6,4.8
Writers and authors,227,59.6,89.1,5.4,4.0,4.5
Miscellaneous media and communication workers,111,70.8,72.9,6.0,16.0,24.9
Broadcast and sound engineering technicians and radio operators,120,12.4,80.6,11.5,5.7,16.3
Photographers,208,47.8,83.6,6.8,5.8,11.4
"Television, video, and motion picture camera operators and editors",82,16.1,85.6,9.5,1.7,15.7
"Media and communication equipment workers, all other",5,–,–,–,–,–
Healthcare practitioners and technical occupations,"9,420",75.0,75.2,12.6,9.9,8.5
Chiropractors,63,21.1,92.8,0.9,4.0,3.0
Dentists,162,35.7,79.0,1.6,17.6,4.3
Dietitians and nutritionists,104,93.1,78.6,9.6,9.1,9.6
Optometrists,54,46.0,84.9,2.1,9.1,8.5
Pharmacists,348,63.4,67.9,7.2,23.1,4.4
Physicians and surgeons,"1,094",40.3,70.8,7.6,19.8,7.4
Physician assistants,132,72.1,90.3,2.9,5.1,8.2
Podiatrists,11,–,–,–,–,–
Audiologists,10,–,–,–,–,–
Occupational therapists,116,86.8,91.1,2.5,6.4,4.2
Physical therapists,286,69.5,76.4,7.4,14.3,4.3
Radiation therapists,16,–,–,–,–,–
Recreational therapists,11,–,–,–,–,–
Respiratory therapists,108,63.8,64.9,17.3,13.9,11.6
Speech-language pathologists,152,96.0,94.1,3.5,1.2,4.8
Exercise physiologists,5,–,–,–,–,–
"Therapists, all other",237,82.1,75.1,18.1,5.3,8.8
Veterinarians,102,71.2,92.9,0.0,4.1,2.3
Registered nurses,"3,213",88.6,75.5,13.1,9.0,7.2
Nurse anesthetists,26,–,–,–,–,–
Nurse midwives,3,–,–,–,–,–
Nurse practitioners,212,87.2,79.1,11.2,8.8,2.6
"Health diagnosing and treating practitioners, all other",40,–,–,–,–,–
Clinical laboratory technologists and technicians,318,75.2,70.0,18.6,8.5,12.9
Dental hygienists,178,97.1,88.3,5.6,3.8,8.6
Diagnostic related technologists and technicians,346,67.9,79.5,11.8,5.6,14.7
Emergency medical technicians and paramedics,214,33.9,84.3,11.9,2.2,13.9
Health practitioner support technologists and technicians,694,80.6,75.5,14.1,6.9,15.0
Licensed practical and licensed vocational nurses,658,87.8,62.0,30.4,5.1,11.5
Medical records and health information technicians,171,93.6,72.3,15.5,9.2,9.2
"Opticians, dispensing",61,73.4,85.4,7.3,4.9,6.8
Miscellaneous health technologists and technicians,139,66.5,59.8,24.1,14.4,12.3
Other healthcare practitioners and technical occupations,137,52.1,81.4,10.2,4.1,10.8
,,,,,,
Service occupations,"26,854",57.5,72.0,17.3,6.1,24.4
Healthcare support occupations,"3,629",87.1,64.3,26.2,5.7,18.3
"Nursing, psychiatric, and home health aides","2,035",89.3,55.8,35.8,5.4,16.3
Occupational therapy assistants and aides,35,–,–,–,–,–
Physical therapist assistants and aides,88,67.4,85.0,6.1,6.7,7.1
Massage therapists,155,83.2,73.7,9.2,10.2,13.9
Dental assistants,293,96.0,80.8,9.9,3.5,27.7
Medical assistants,570,90.6,74.1,15.3,4.5,28.6
Medical transcriptionists,44,–,–,–,–,–
Pharmacy aides,34,–,–,–,–,–
Veterinary assistants and laboratory animal caretakers,56,86.3,84.5,7.0,2.8,9.4
Phlebotomists,115,75.0,72.7,16.9,7.6,19.6
"Miscellaneous healthcare support occupations, including medical equipment preparers",204,64.0,63.5,26.4,8.6,11.9
Protective service occupations,"3,203",22.5,73.5,20.1,2.4,13.8
First-line supervisors of correctional officers,45,–,–,–,–,–
First-line supervisors of police and detectives,88,17.0,88.8,9.2,0.4,9.4
First-line supervisors of fire fighting and prevention workers,49,–,–,–,–,–
"First-line supervisors of protective service workers, all other",86,22.4,72.5,22.1,1.8,8.7
Firefighters,306,5.1,87.1,8.9,1.1,7.4
Fire inspectors,23,–,–,–,–,–
"Bailiffs, correctional officers, and jailers",406,29.6,67.0,29.0,1.2,13.7
Detectives and criminal investigators,164,24.4,85.3,10.2,1.0,11.2
Fish and game wardens,7,–,–,–,–,–
Parking enforcement workers,4,–,–,–,–,–
Police and sheriff's patrol officers,728,15.4,81.7,12.7,2.1,13.5
Transit and railroad police,2,–,–,–,–,–
Animal control workers,19,–,–,–,–,–
Private detectives and investigators,96,49.5,78.2,15.7,3.3,20.2
Security guards and gaming surveillance officers,958,22.4,60.0,30.7,3.9,16.8
Crossing guards,66,53.2,58.4,26.5,1.9,20.9
Transportation security screeners,41,–,–,–,–,–
"Lifeguards and other recreational, and all other protective service workers",117,46.3,85.2,6.5,4.0,9.7
Food preparation and serving related occupations,"8,220",55.5,73.2,14.8,6.5,25.9
Chefs and head cooks,427,22.0,61.0,17.2,16.6,26.6
First-line supervisors of food preparation and serving workers,563,57.2,74.5,17.8,2.8,16.8
Cooks,"2,067",41.8,71.7,17.6,6.3,34.7
Food preparation workers,988,61.0,71.1,15.9,6.2,26.2
Bartenders,474,57.2,84.3,7.3,2.9,15.1
"Combined food preparation and serving workers, including fast food",322,63.0,73.2,17.8,3.5,21.0
"Counter attendants, cafeteria, food concession, and coffee shop",202,68.8,74.6,15.3,4.9,18.0
Waiters and waitresses,"2,020",69.9,76.0,10.7,7.6,22.6
"Food servers, nonrestaurant",226,70.2,61.2,25.5,8.4,22.2
Dining room and cafeteria attendants and bartender helpers,309,45.7,73.1,13.5,6.0,29.2
Dishwashers,263,24.3,74.3,13.2,5.7,27.9
"Hosts and hostesses, restaurant, lounge, and coffee shop",354,81.6,75.1,12.9,4.5,27.0
"Food preparation and serving related workers, all other",5,–,–,–,–,–
Building and grounds cleaning and maintenance occupations,"5,854",41.3,77.3,14.8,3.1,38.8
First-line supervisors of housekeeping and janitorial workers,339,42.4,75.5,15.9,3.6,25.1
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",254,8.0,88.3,6.5,1.5,26.2
Janitors and building cleaners,"2,342",34.1,73.0,19.1,3.5,32.8
Maids and housekeeping cleaners,"1,512",90.1,74.1,16.1,4.5,49.3
Pest control workers,79,8.4,84.9,10.6,0.0,12.2
Grounds maintenance workers,"1,328",6.7,86.5,7.5,1.0,45.0
Personal care and service occupations,"5,947",76.9,69.2,16.3,10.5,17.8
